sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,sigma_9,sigma_10
0.0532058,0.386406,0.000373279,0.0177215,0,0,0,0,0.0264554,1
0.295609,2.45931,0.00118782,0.252618,0,0,0,0,0.0231613,2
0.295609,2.45931,0.00118782,0.252618,0,0,0,0,0.0200808,3
0.222117,0.80314,0.00871774,0.065255,0.00498277,0.0839026,0.00190224,0.0343581,0.0182498,4
0.221914,0.795538,0.00906133,0.0723354,0.00557659,0.0998629,0.00214498,0.0408938,0.018004,5
0.221715,0.789253,0.00938496,0.0789203,0.00615047,0.114667,0.00237972,0.0469561,0.017767,6
0.222039,0.77623,0.00931692,0.0796328,0.0055501,0.0985576,0.00213629,0.0403596,0.0171381,7
0.222083,0.769969,0.00940032,0.0821087,0.00554083,0.0980059,0.00213318,0.0401338,0.0168501,8
0.222127,0.763813,0.00948286,0.0845912,0.00553137,0.0974109,0.00213003,0.0398902,0.0165626,9
0.221836,0.770705,0.0096372,0.0861187,0.00612382,0.113241,0.00237097,0.0463724,0.0169043,10
0.221878,0.764704,0.00971937,0.0885488,0.00611444,0.112635,0.00236781,0.0461246,0.0166175,11
0.04996698,0.3530636,0.0029388824,0.04500943,-0.000102786,0,0,0,0.02526506,3
0.04997568,0.3583059,0.0028904424,0.04506973,-0.000122634,0,0,0,0.02526506,3
0.2258492,0.7811474,0.01119544,0.0908425,0.004879984,0.08107941,0.0018644411,0.03320327,0.01505727,5
0.2254559,0.7725027,0.01181422,0.1045681,0.006027836,0.11138614,0.002333795,0.04829872,0.01462461,7
